2024-10-17 13:57:12 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2024-10-17 13:57:12 [restartedMain] INFO  c.e.a.empleados.EmpleadosApplication - Starting EmpleadosApplication using Java 17.0.10 on ASANTIAGO with PID 51048 (C:\Users\ASANTIAGO\Documents\Cursos\empleados\target\classes started by asantiago in C:\Users\ASANTIAGO\Documents\Cursos\empleados)
2024-10-17 13:57:12 [restartedMain] INFO  c.e.a.empleados.EmpleadosApplication - No active profile set, falling back to 1 default profile: "default"
2024-10-17 13:57:12 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-10-17 13:57:12 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-10-17 13:57:12 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-17 13:57:13 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 38 ms. Found 1 JPA repository interfaces.
2024-10-17 13:57:13 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2024-10-17 13:57:13 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2024-10-17 13:57:13 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-10-17 13:57:13 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2024-10-17 13:57:13 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-10-17 13:57:13 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1188 ms
2024-10-17 13:57:13 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-10-17 13:57:13 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-10-17 13:57:13 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:mydb'
2024-10-17 13:57:13 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-10-17 13:57:13 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.9.Final
2024-10-17 13:57:13 [restartedMain] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-10-17 13:57:14 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2024-10-17 13:57:14 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-10-17 13:57:14 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-10-17 13:57:14 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-10-17 13:57:15 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-10-17 13:57:15 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2024-10-17 13:57:15 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
2024-10-17 13:57:15 [restartedMain] INFO  c.e.a.empleados.EmpleadosApplication - Started EmpleadosApplication in 3.529 seconds (JVM running for 4.311)
2024-10-17 13:57:22 [http-nio-8089-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-10-17 13:57:22 [http-nio-8089-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-10-17 13:57:22 [http-nio-8089-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-10-17 13:57:26 [http-nio-8089-exec-1] INFO  c.e.a.e.service.EmpleadoServiceImpl - Ejecutando: {} metodo saveAll
2024-10-17 13:58:48 [http-nio-8089-exec-9] INFO  c.e.api.empleados.api.EmpleadosApi - Header user: AlexSanti
2024-10-17 13:58:48 [http-nio-8089-exec-9] INFO  c.e.a.e.service.EmpleadoServiceImpl - Ejecutando: {} metodo all
2024-10-17 13:59:02 [http-nio-8089-exec-7] INFO  c.e.a.e.service.EmpleadoServiceImpl - Ejecutando: {} metodo update
2024-10-17 13:59:21 [http-nio-8089-exec-6] INFO  c.e.api.empleados.api.EmpleadosApi - Header user: AlexSantiEliminar
2024-10-17 13:59:21 [http-nio-8089-exec-6] INFO  c.e.a.e.service.EmpleadoServiceImpl - Ejecutando: {} metodo delete
